"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"42","180.54153451631095","114.8245316320997","5.063928457005725","-0.3066601274184393","0.012199999999999989","0.017","0.007399999999999962","1300","0.0015130836962659229","0","0.0015130836962659229","0.0015130836962659229","42_41:0.02292467619405597;42_43:0.025236130605180707","42_41:660;42_43:660","true"
"43","243.4384217743829","186.35418483792995","4.829552892647809","-0.3101290706249939","0.05449999999999999","0.079","0.030000000000000027","1300","0.0007782861394240715","0","0.0007782861394240715","0.0007782861394240715","43_44:0.010019376068896468","43_44:660","true"
"44","66.02055505668112","20.2546136914797","4.949171040166026","-0.3085061819189273","0.019299999999999984","0.018199999999999994","0.0204","1300","0.00035865001387841997","0","0.00035865001387841997","0.00035865001387841997","44_45:0.008466082730018087","44_45:660","true"
"45","270.4243589658323","23.918969343400462","4.999439570777192","-0.35905492913025383","0.049900000000000055","0.0488","0.051000000000000045","1300","0.00041057384321643945","0","0.00041057384321643945","0.00041057384321643945","","","true"
"46","293.0770591520196","202.27718712718183","4.853136127313077","-0.3093752065131216","0.01649999999999996","0.01959999999999995","0.0134","1300","0.00032651510578779133","0","0.00032651510578779133","0.00032651510578779133","46_45:0.01868796428501812;46_47:0.026284940263284512","46_45:660;46_47:660","true"
"47","93.4047199436824","115.21955077156878","4.769537734046866","-0.3109329882546267","0.01419999999999999","0.01880000000000004","0.0096","1300","0.001492004633562171","0","0.001492004633562171","0.001492004633562171","","","true"
"48","293.04432609028675","107.2402941463143","4.844159296930073","-0.3101551740988557","0.017100000000000004","0.018199999999999994","0.016","1300","0.0002008462160611069","0","0.0002008462160611069","0.0002008462160611069","48_47:0.02831155100512292;48_49:0.009205953963006913","48_47:660;48_49:660","true"
"49","299.3625475485192","58.974812545644404","4.697333027060798","-0.312183453636997","0.008199999999999985","0.010399999999999965","0.006","1300","0.00030074340350235036","0","0.00030074340350235036","0.00030074340350235036","","","true"
"50","343.9871114214961","36.2483074304992","4.784065216389066","-0.31049210238863767","0.01649999999999996","0.015000000000000013","0.018","1300","0.0004096748419625845","0","0.0004096748419625845","0.0004096748419625845","50_49:0.013354414781846652;50_51:0.012184814784231585","50_49:660;50_51:660","true"
"51","364.87919820758674","294.81461511981297","4.931195143259573","-0.3079514036835037","0.0131","0.010800000000000032","0.0154","1300","0.0001366516995894903","0","0.0001366516995894903","0.0001366516995894903","","","true"
"52","286.12584224906595","165.84834746404724","4.915268091888991","-0.30801090653647334","0.015900000000000025","0.0162","0.015599999999999947","1300","0.0001930801550880452","0","0.0001930801550880452","0.0001930801550880452","52_37:0.0046971138021607295;52_56:0.005607964599687626","52_37:660;52_56:660","true"
"53","227.7702491529572","206.80504488363684","4.996701228091365","-0.30683792833129964","0.014599999999999946","0.0182","0.01100000000000001","1300","0.0005933438641338155","0","0.0005933438641338155","0.0005933438641338155","53_60:0.006620250315515858","53_60:660","true"
