Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns),Operational
24,273.3633736,88.68981165,5.100790397,-0.305498398,0.133333333,0.133333333,0.133333333,1300,0.000308933,0,0.000308933,0.000308933,24_23:0.006045383446413255;24_34:0.2162263344214992,24_23:660;24_34:660,TRUE
25,208.7780673,174.4950752,4.945232228,-0.308427516,0.0162,0.0064,0.026,1300,0.00019756,0,0.00019756,0.00019756,25_24:0.006499381691202066,25_24:660,TRUE
26,252.1652908,168.495951,4.854079645,-0.309769228,0.0109,0.0088,0.013,1300,0.000202291,0,0.000202291,0.000202291,26_25:0.007253348032022516,26_25:660,TRUE
27,263.9151595,246.3935393,4.74757499,-0.310275194,0.0568,0.0586,0.055,1300,0.00013668,0,0.00013668,0.00013668,27_26:0.00575265423876109,27_26:660,TRUE
28,239.2761048,107.8754347,4.994402423,-0.307371414,0.0374,0.011,0.0638,1300,0.000238063,0,0.000238063,0.000238063,28_27:0.007605323463850899;28_29:0.008030608588140448;28_35:0.0074790581838961034,28_27:660;28_29:660;28_35:660,TRUE
29,217.0499963,247.7706428,4.62864913,-0.312240887,0.0209,0.0244,0.0174,1300,0.000199595,0,0.000199595,0.000199595,,,TRUE
30,317.3789135,66.78916102,4.732965719,-0.310900124,0.0073,0.0088,0.0058,1300,0.000178204,0,0.000178204,0.000178204,30_29:0.006120451670646954;30_31:0.007441929193919783,30_29:660;30_31:660,TRUE
31,304.9300561,67.55337246,4.797666871,-0.310256286,0.0053,0.0062,0.0044,1300,0.000180499,0,0.000180499,0.000180499,31_32:0.005604694142286065,31_32:660,TRUE
32,237.3946037,207.2167676,4.91038607,-0.30787943,0.0092,0.0102,0.0082,1300,0.000181679,0,0.000181679,0.000181679,32_36:0.0038488828947238485,32_36:660,TRUE
33,291.4391407,113.72098,4.973179865,-0.307548685,0.0097,0.0084,0.011,1300,0.000178783,0,0.000178783,0.000178783,33_39:0.016527983838529492,33_39:660,TRUE
34,104.6096624,48.8931678,4.678636054,-0.312433846,0.068333333,0.08,0.056666667,1300,0.000220459,0,0.000220459,0.000220459,34_43:0.007512924660361436,34_43:660,TRUE
35,288.8723441,144.1104553,4.907602428,-0.308301774,0.0192,0.016,0.0224,1300,0.000203442,0,0.000203442,0.000203442,35_47:0.006917172474395827,35_47:660,TRUE
36,330.5435441,325.2730005,4.812275935,-0.31175121,0.0121,0.0118,0.0124,1300,0.000108105,0,0.000108105,0.000108105,36_51:0.0038615768017273844,36_51:660,TRUE
37,261.8250485,106.0629231,4.83790974,-0.308869951,0.0145,0.0138,0.0152,1300,0.00015352,0,0.00015352,0.00015352,37_38:0.008128050519164903,37_38:660,TRUE
38,195.7146847,123.2368713,4.776679833,-0.310165119,0.0196,0.0232,0.016,1300,0.000366313,0,0.000366313,0.000366313,,,TRUE
39,200.6871628,103.0954798,4.917369423,-0.3082477,0.0262,0.0236,0.0288,1300,0.0002728,0,0.0002728,0.0002728,39_38:0.009076139098541436,39_38:660,TRUE
40,316.4690991,32.23870513,4.868203988,-0.308591525,0.0136,0.0136,0.0136,1300,0.000295697,0,0.000295697,0.000295697,40_41:0.00795400301522367;40_39:0.007007225972299802,40_41:660;40_39:660,TRUE
41,193.4665164,114.6534166,4.935543564,-0.308626411,0.063333333,0.046666667,0.08,1300,0.000163817,0,0.000163817,0.000163817,41_53:0.007953222920741881,41_53:660,TRUE
42,126.5189257,92.78719992,5.063928457,-0.306660127,0.0135,0.0182,0.0088,1300,0.000426847,0,0.000426847,0.000426847,42_41:0.007161630163846189;42_43:0.010318102067785356,42_41:660;42_43:660,TRUE
43,183.603705,109.8646744,4.829552893,-0.310129071,0.0289,0.028,0.0298,1300,0.000351928,0,0.000351928,0.000351928,43_44:0.00910347776708964,43_44:660,TRUE
44,283.04111,18.61656513,4.94917104,-0.308506182,0.0235,0.017,0.03,1300,0.000305529,0,0.000305529,0.000305529,44_45:0.008892583460321207,44_45:660,TRUE
45,226.4513711,23.41657776,4.999439571,-0.359054929,0.0597,0.0586,0.0608,1300,0.000390466,0,0.000390466,0.000390466,,,TRUE
46,183.464077,134.6249895,4.853136127,-0.309375207,0.0113,0.0138,0.0088,1300,0.000370258,0,0.000370258,0.000370258,46_45:0.018735272519405877;46_47:0.007267983629707597,46_45:660;46_47:660,TRUE
47,123.7593555,132.1499219,4.769537734,-0.310932988,0.0092,0.0122,0.0062,1300,0.000285513,0,0.000285513,0.000285513,,,TRUE
48,215.9964296,94.55295106,4.844159297,-0.310155174,0.014,0.0146,0.0134,1300,0.000195161,0,0.000195161,0.000195161,48_47:0.006539603986176479;48_49:0.008503884052394134,48_47:660;48_49:660,TRUE
49,149.9207455,45.46104801,4.697333027,-0.312183454,0.0118,0.0102,0.0134,1300,0.000297774,0,0.000297774,0.000297774,,,TRUE
50,323.5565517,39.73928548,4.784065216,-0.310492102,0.0161,0.02,0.0122,1300,0.000362813,0,0.000362813,0.000362813,50_49:0.012637710910554795;50_51:0.008779225855583411,50_49:660;50_51:660,TRUE
51,265.5586397,296.7043584,4.931195143,-0.307951404,0.0122,0.0136,0.0108,1300,0.000118224,0,0.000118224,0.000118224,,,TRUE
52,184.6113402,156.6856581,4.915268092,-0.308010907,0.0084,0.0102,0.0066,1300,0.00032393,0,0.00032393,0.00032393,52_37:0.006482966631904119;52_56:0.04589311480659147,52_37:660;52_56:660,TRUE
53,196.619357,205.4497897,4.996701228,-0.306837928,0.026666667,0.04,0.013333333,1300,0.000531682,0,0.000531682,0.000531682,53_60:0.0063003799288400275,53_60:660,TRUE
54,226.4825944,80.90528058,4.969624619,-0.306993524,0.0165,0.0184,0.0146,1300,0.000300915,0,0.000300915,0.000300915,54_64:0.011235520320241;54_45:0.023659626454434785,54_64:660;54_45:660,TRUE
55,112.3754993,82.24192794,4.837201894,-0.310380481,0.0333,0.0532,0.0134,1300,0.001814284,0,0.001814284,0.001814284,55_68:0.015976119628692248;55_49:0.020533291223085837,55_68:660;55_49:660,TRUE
56,175.4678715,153.7854721,4.814526648,-0.309745716,0.051,0.076,0.026,1300,0.002406158,0,0.002406158,0.002406158,56_57:0.03475037417414814,56_57:660,TRUE
57,223.2848033,186.7648434,4.927636216,-0.307786118,0.01,0.0108,0.0092,1300,0.000196933,0,0.000196933,0.000196933,57_58:0.006705640386725942,57_58:660,TRUE
58,287.8460524,166.3492662,4.886914741,-0.30930018,0.0159,0.016,0.0158,1300,0.000121584,0,0.000121584,0.000121584,58_71:0.005797799496387063;58_59:0.0038907658893146957,58_71:660;58_59:660,TRUE
59,259.0059298,46.2625131,4.971240984,-0.307626911,0.0125,0.0116,0.0134,1300,0.000204303,0,0.000204303,0.000204303,59_60:0.005949748560861778,59_60:660,TRUE
60,312.9145444,109.3568439,4.766228042,-0.310542485,0.02,0.0232,0.0168,1300,0.000458791,0,0.000458791,0.000458791,60_61:0.010995285951560074,60_61:660,TRUE
61,242.7405956,126.8474549,4.793929681,-0.290564028,0.0132,0.0194,0.007,1300,0.000597585,0,0.000597585,0.000597585,,,TRUE
62,232.8936101,136.6094796,4.935227578,-0.30799212,0.015,0.0158,0.0142,1300,0.000242493,0,0.000242493,0.000242493,62_72:1;62_61:0.013270658570158522;62_63:0.006194250073161489,62_72:660;62_61:660;62_63:660,TRUE
63,177.5043634,116.4563089,5.041629381,-0.306946314,0.011,0.0102,0.0118,1300,0.000158558,0,0.000158558,0.000158558,63_64:0.006689640853676099,63_64:660,TRUE
64,216.8795526,166.2849524,4.821568152,-0.309671617,0.0099,0.0126,0.0072,1300,0.000314943,0,0.000314943,0.000314943,,,TRUE
65,222.4230232,80.95711149,4.957162838,-0.307526241,0.0124,0.0102,0.0146,1300,0.000201607,0,0.000201607,0.000201607,65_64:0.007383477569827851;65_66:0.01206180417705921,65_64:660;65_66:660,TRUE
66,58.86030922,71.04592978,4.885003283,-0.30910675,0.0106,0.0128,0.0084,1300,0.000493027,0,0.000493027,0.000493027,,,TRUE
67,251.6220915,125.5074283,5.113942994,-0.305888986,0.0607,0.0616,0.0598,1300,0.000186509,0,0.000186509,0.000186509,67_68:0.00741513274160846;67_66:0.012466487059243803,67_68:660;67_66:660,TRUE
68,271.9584174,28.77322322,4.743755987,-0.31111459,0.0396,0.0464,0.0328,1300,0.000165894,0,0.000165894,0.000165894,,,TRUE
69,175.4141727,125.8101131,5.117688308,-0.3044029,0.0106,0.0086,0.0126,1300,0.000248757,0,0.000248757,0.000248757,69_68:0.007985349176902051;69_70:0.006725491514124882,69_68:660;69_70:660,TRUE
70,215.9956601,194.2403121,4.898861336,-0.308239941,0.0731,0.0688,0.0774,1300,0.000226659,0,0.000226659,0.000226659,,,TRUE
